Bank Name,City,State,CERT #,Acquiring Institution,Closing Date,Updated Date
United Commercial Bank,San Francisco,CA,32469,East West Bank,6-Nov-09,27-Aug-10
Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,6-Nov-09,27-Aug-10
Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.",6-Nov-09,27-Aug-10
Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,6-Nov-09,27-Aug-10
United Security Bank,Sparta,GA,22286,Ameris Bank,6-Nov-09,27-Aug-10
North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,30-Oct-09,26-Aug-10
Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,30-Oct-09,26-Aug-10
Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,30-Oct-09,26-Aug-10
Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,30-Oct-09,26-Aug-10
Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,30-Oct-09,26-Aug-10
California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,30-Oct-09,26-Aug-10
San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,30-Oct-09,26-Aug-10
Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,30-Oct-09,26-Aug-10
"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,30-Oct-09,26-Aug-10
First DuPage Bank,Westmont,IL,35038,First Midwest Bank,23-Oct-09,26-Aug-10
Riverview Community Bank,Otsego,MN,57525,Central Bank,23-Oct-09,26-Aug-10
Bank of Elmwood,Racine,WI,18321,Tri City National Bank,23-Oct-09,26-Aug-10
Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,23-Oct-09,26-Aug-10
Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,23-Oct-09,26-Aug-10
American United Bank,Lawrenceville,GA,57794,Ameris Bank,23-Oct-09,26-Aug-10
Partners Bank,Naples,FL,57959,Stonegate Bank,23-Oct-09,26-Aug-10
San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,16-Oct-09,26-Aug-10
Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,2-Oct-09,26-Aug-10
Jennings State Bank,Spring Grove,MN,11416,Central Bank,2-Oct-09,26-Aug-10
Warren Bank,Warren,MI,34824,The Huntington National Bank,2-Oct-09,26-Aug-10
Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.",25-Sep-09,26-Aug-10
"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.",18-Sep-09,26-Aug-10
Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.",18-Sep-09,26-Aug-10
Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,11-Sep-09,26-Aug-10
Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,11-Sep-09,26-Aug-10
"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.",11-Sep-09,26-Aug-10
First State Bank,Flagstaff,AZ,34875,Sunwest Bank,4-Sep-09,26-Aug-10
Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,4-Sep-09,26-Aug-10
Vantus Bank,Sioux City,IA,27732,Great Southern Bank,4-Sep-09,26-Aug-10
InBank,Oak Forest,IL,20203,MB Financial Bank,4-Sep-09,26-Aug-10
First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,4-Sep-09,26-Aug-10
Affinity Bank,Ventura,CA,27197,Pacific Western Bank,28-Aug-09,26-Aug-10
Mainstreet Bank,Forest Lake,MN,1909,Central Bank,28-Aug-09,26-Aug-10
Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),28-Aug-09,26-Aug-10
Guaranty Bank,Austin,TX,32618,BBVA Compass,21-Aug-09,26-Aug-10
CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,21-Aug-09,26-Aug-10
First Coweta Bank,Newnan,GA,57702,United Bank,21-Aug-09,26-Aug-10
ebank,Atlanta,GA,34682,"Stearns Bank, N.A.",21-Aug-09,26-Aug-10
Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,14-Aug-09,26-Aug-10
Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,14-Aug-09,26-Aug-10
"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,14-Aug-09,26-Aug-10
Colonial Bank,Montgomery,AL,9609,"Branch Banking and Trust Company, (BB&T)",14-Aug-09,26-Aug-10
Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.",14-Aug-09,26-Aug-10
Community First Bank,Prineville,OR,23268,Home Federal Bank,7-Aug-09,26-Aug-10
Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.",7-Aug-09,2-Dec-10
First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.",7-Aug-09,23-Sep-10
Mutual Bank,Harvey,IL,18659,United Central Bank,31-Jul-09,27-Aug-10
First BankAmericano,Elizabeth,NJ,34270,Crown Bank,31-Jul-09,27-Aug-10
Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.",31-Jul-09,27-Aug-10
Integrity Bank,Jupiter,FL,57604,Stonegate Bank,31-Jul-09,27-Aug-10
First State Bank of Altus,Altus,OK,9873,Herring Bank,31-Jul-09,27-Aug-10
Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,24-Jul-09,27-Aug-10
Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,24-Jul-09,27-Aug-10
Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,24-Jul-09,27-Aug-10
Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,24-Jul-09,27-Aug-10
Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,24-Jul-09,27-Aug-10
Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,24-Jul-09,27-Aug-10
Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.",24-Jul-09,27-Aug-10
Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,17-Jul-09,27-Aug-10
Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,17-Jul-09,27-Aug-10
BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.",17-Jul-09,27-Aug-10
First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,17-Jul-09,27-Aug-10
Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,10-Jul-09,27-Aug-10
Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,2-Jul-09,27-Aug-10
Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,2-Jul-09,27-Aug-10
First National Bank of Danville,Danville,IL,3644,"First Financial Bank, N.A.",2-Jul-09,27-Aug-10
Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,2-Jul-09,27-Aug-10
Rock River Bank,Oregon,IL,15302,The Harvard State Bank,2-Jul-09,27-Aug-10
First State Bank of Winchester,Winchester,IL,11710,The First National Bank of Beardstown,2-Jul-09,27-Aug-10
John Warner Bank,Clinton,IL,12093,State Bank of Lincoln,2-Jul-09,27-Aug-10
Mirae Bank,Los Angeles,CA,57332,Wilshire State Bank,26-Jun-09,27-Aug-10
MetroPacific Bank,Irvine,CA,57893,Sunwest Bank,26-Jun-09,27-Aug-10
Horizon Bank,Pine City,MN,9744,Stearns Bank N.A.,26-Jun-09,27-Aug-10
Neighborhood Community Bank,Newnan,GA,35285,CharterBank,26-Jun-09,27-Aug-10
Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,26-Jun-09,27-Aug-10
First National Bank of Anthony,Anthony,KS,4614,Bank of Kansas,19-Jun-09,27-Aug-10
Cooperative Bank,Wilmington,NC,27837,First Bank,19-Jun-09,27-Aug-10
Southern Community Bank,Fayetteville,GA,35251,United Community Bank,19-Jun-09,27-Aug-10
Bank of Lincolnwood,Lincolnwood,IL,17309,Republic Bank of Chicago,5-Jun-09,27-Aug-10
Citizens National Bank,Macomb,IL,5757,Morton Community Bank,22-May-09,27-Aug-10
Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,22-May-09,27-Aug-10
"BankUnited, FSB",Coral Gables,FL,32247,BankUnited,21-May-09,27-Jan-11
